Locus	sgRNA	Beta	zscore	pvalue	FDR	wald_pvalue	wald_fdr	Cas_variant	FACS_protein	sgRNA_group
Pos_SAM_ATP2A3	6	0.44227	2.3841	0.012299	0.35135	0.01712	0.16085	Cas9	SELE	known_genes
rs62233973	4	0.096148	1.0879	0.63198	0.9481	0.27666	0.5878	Cas9	SELE	CAD_loci
rs28558946	4	0.12716	0.65972	0.50946	0.92555	0.50943	0.75711	Cas9	SELE	CAD_loci
rs1813831	1	-0.35153	-1.7511	0.28808	0.82649	0.079926	0.32556	Cas9	SELE	CAD_loci
rs34767248	5	-0.24704	-3.1376	0.088458	0.66032	0.0017032	0.063911	Cas9	SELE	CAD_loci
rs2001945	5	0.083586	0.6871	0.62394	0.94699	0.49202	0.74401	Cas9	SELE	CAD_loci
rs62234000	5	0.13758	0.95272	0.41343	0.88372	0.34073	0.6389	Cas9	SELE	CAD_loci
rs34818360	4	-0.3481	-3.5458	0.044465	0.54651	0.00039138	0.034474	Cas9	SELE	CAD_loci
rs62233134	5	-0.32049	-3.1882	0.033113	0.54651	0.0014317	0.058202	Cas9	SELE	CAD_loci
rs11191505	3	-0.16843	-1.5981	0.37512	0.87239	0.11003	0.38961	Cas9	SELE	CAD_loci
rs11556924	5	0.25561	2.7774	0.13387	0.7375	0.0054804	0.097276	Cas9	SELE	CAD_loci
rs112898275	3	0.057799	0.65961	0.79281	0.97676	0.5095	0.75711	Cas9	SELE	CAD_loci
Pos_GECKO_SELE	5	-1.2901	-6.1892	0	0	6.0467e-10	1.2783e-06	Cas9	SELE	known_genes
rs602633	5	0.05869	0.7025	0.74834	0.97676	0.48236	0.73786	Cas9	SELE	CAD_loci
rs2244608	5	-0.18745	-2.1386	0.19442	0.76394	0.032471	0.21385	Cas9	SELE	CAD_loci
rs56289821	5	0.16245	1.8461	0.33586	0.84964	0.064885	0.30121	Cas9	SELE	CAD_loci
rs653178	3	-0.0038759	-0.030222	0.9579	0.99167	0.97589	0.99143	Cas9	SELE	CAD_loci
rs1713798	5	-0.023869	-0.23931	0.84342	0.97913	0.81087	0.91962	Cas9	SELE	CAD_loci
rs2303285	1	-0.25277	-1.4532	0.43377	0.89551	0.14617	0.44654	Cas9	SELE	CAD_loci
rs61791543	2	-0.15556	-0.57724	0.49716	0.92555	0.56378	0.78461	Cas9	SELE	CAD_loci
rs78260931	4	0.24674	1.1424	0.19063	0.75985	0.25328	0.56185	Cas9	SELE	CAD_loci
rs7165902	5	-0.25202	-2.4723	0.084674	0.66032	0.013425	0.14442	Cas9	SELE	CAD_loci
rs28896238	5	-0.4058	-4.4212	0.0075686	0.29231	9.8144e-06	0.0020748	Cas9	SELE	CAD_loci
rs755852	5	-0.1103	-1.1181	0.42479	0.89197	0.26351	0.57057	Cas9	SELE	CAD_loci
rs11644306	5	0.098218	1.0416	0.56906	0.93722	0.29759	0.60901	Cas9	SELE	CAD_loci
rs1657621	4	0.17162	0.88895	0.35147	0.86195	0.37403	0.66205	Cas9	SELE	CAD_loci
rs74571503	5	-0.16797	-1.3587	0.23936	0.80702	0.17424	0.48314	Cas9	SELE	CAD_loci
rs1537372	5	-0.0028286	-0.021931	0.95412	0.99167	0.9825	0.99474	Cas9	SELE	CAD_loci
rs11057397	5	0.0042606	0.042204	0.99054	0.99857	0.96634	0.98848	Cas9	SELE	CAD_loci
rs12801636	5	0.20745	1.2986	0.21949	0.78246	0.19409	0.50481	Cas9	SELE	CAD_loci
rs12950555	4	0.11121	0.95426	0.56433	0.93722	0.33995	0.6389	Cas9	SELE	CAD_loci
rs1713843	2	-0.13428	-0.83776	0.55866	0.93722	0.40217	0.68529	Cas9	SELE	CAD_loci
rs139306531	5	0.29734	2.7669	0.088458	0.66032	0.0056598	0.097276	Cas9	SELE	CAD_loci
rs149906242	4	0.16092	1.3849	0.38694	0.87781	0.16607	0.47125	Cas9	SELE	CAD_loci
rs6579210	5	0.14173	1.3147	0.39924	0.87888	0.1886	0.49936	Cas9	SELE	CAD_loci
rs926364	5	-0.093082	-1.1043	0.5123	0.92555	0.26945	0.57819	Cas9	SELE	CAD_loci
rs1231209	5	0.10056	1.0767	0.55724	0.93722	0.28161	0.59059	Cas9	SELE	CAD_loci
rs62232005	5	0.080882	0.72315	0.63765	0.9481	0.46958	0.7296	Cas9	SELE	CAD_loci
rs7517394	5	-0.19205	-2.0215	0.18401	0.75985	0.043224	0.24497	Cas9	SELE	CAD_loci
rs2241412	5	0.043715	0.44697	0.81977	0.97676	0.6549	0.84624	Cas9	SELE	CAD_loci
rs3766042	2	-0.34451	-1.5037	0.15326	0.74376	0.13265	0.42553	Cas9	SELE	CAD_loci
rs2943641	5	-0.294	-3.2462	0.044465	0.54651	0.0011696	0.053753	Cas9	SELE	CAD_loci
rs56259569	4	-0.27432	-2.3962	0.10265	0.67812	0.016564	0.15845	Cas9	SELE	CAD_loci
rs75989601	5	0.055523	0.37436	0.76585	0.97676	0.70813	0.87388	Cas9	SELE	CAD_loci
rs585821	5	0.046979	0.47148	0.80605	0.97676	0.6373	0.8347	Cas9	SELE	CAD_loci
rs12941621	2	-0.0472	-0.37328	0.83775	0.97739	0.70894	0.87388	Cas9	SELE	CAD_loci
rs2383206	5	-0.18202	-1.6744	0.20861	0.77586	0.09406	0.35635	Cas9	SELE	CAD_loci
rs11724647	5	-0.06059	-0.47791	0.65563	0.95061	0.63272	0.83182	Cas9	SELE	CAD_loci
Pos_GECKO_ATP2A2	6	0.96432	2.7325	0	0	0.0062861	0.10298	Cas9	SELE	known_genes
Ess_SAM_RPS11	7	0.4009	1.9315	0.012772	0.36	0.053417	0.27512	Cas9	SELE	essential_genes
rs201718069	2	-0.13494	-0.70697	0.55724	0.93722	0.47959	0.73519	Cas9	SELE	CAD_loci
rs2235425	5	-0.040917	-0.40463	0.76206	0.97676	0.68575	0.85729	Cas9	SELE	CAD_loci
rs8057203	5	0.0013645	0.011627	0.97871	0.99664	0.99072	0.99656	Cas9	SELE	CAD_loci
rs4887816	5	0.37508	3.6257	0.042573	0.54651	0.00028815	0.026485	Cas9	SELE	CAD_loci
rs2943658	5	-0.040259	-0.56919	0.7649	0.97676	0.56923	0.78753	Cas9	SELE	CAD_loci
rs73074830	5	0.36822	2.6745	0.044465	0.54651	0.0074851	0.10838	Cas9	SELE	CAD_loci
rs246603	5	0.02536	0.15879	0.90492	0.9871	0.87383	0.94891	Cas9	SELE	CAD_loci
rs4757141	5	0.2974	2.7494	0.088458	0.66032	0.0059698	0.099805	Cas9	SELE	CAD_loci
rs10495198	5	-0.081686	-0.73621	0.55629	0.93722	0.4616	0.72445	Cas9	SELE	CAD_loci
rs1250259	5	-0.26337	-2.1819	0.068117	0.61803	0.029113	0.20312	Cas9	SELE	CAD_loci
rs4146388	5	-0.001905	-0.030138	0.95837	0.99168	0.97596	0.99143	Cas9	SELE	CAD_loci
rs8043606	5	0.31993	1.7064	0.070482	0.62343	0.087931	0.34551	Cas9	SELE	CAD_loci
rs12473819	5	-0.074458	-0.2728	0.58751	0.93722	0.78501	0.90782	Cas9	SELE	CAD_loci
rs7166770	5	-0.23017	-2.0647	0.1088	0.68657	0.038948	0.23391	Cas9	SELE	CAD_loci
rs67452501	2	-0.039929	-0.20644	0.86708	0.98074	0.83645	0.92943	Cas9	SELE	CAD_loci
rs1532292	5	0.1069	1.3438	0.53075	0.93267	0.17901	0.48997	Cas9	SELE	CAD_loci
rs9920493	5	0.0014057	0.01112	0.97919	0.99664	0.99113	0.99656	Cas9	SELE	CAD_loci
rs11105328	3	0.2499	2.8355	0.24361	0.81102	0.0045758	0.092593	Cas9	SELE	CAD_loci
rs10952541	5	0.013887	0.11589	0.9631	0.99366	0.90774	0.96066	Cas9	SELE	CAD_loci
rs1412834	4	-0.37468	-1.71	0.033113	0.54651	0.087274	0.34421	Cas9	SELE	CAD_loci
rs372189073	5	0.082157	0.42381	0.6315	0.9481	0.6717	0.85246	Cas9	SELE	CAD_loci
rs368093985	5	-0.14957	-1.4364	0.29092	0.82649	0.15089	0.4557	Cas9	SELE	CAD_loci
rs7213232	2	0.36912	2.0294	0.15799	0.74554	0.042415	0.24476	Cas9	SELE	CAD_loci
rs57301765	3	0.21856	1.2079	0.30937	0.83312	0.2271	0.53968	Cas9	SELE	CAD_loci
rs1399624	5	-0.2723	-2.2382	0.061022	0.60849	0.025209	0.1844	Cas9	SELE	CAD_loci
rs55661567	5	0.049237	0.5574	0.7947	0.97676	0.57726	0.79489	Cas9	SELE	CAD_loci
rs11585294	5	0.01453	0.15799	0.96216	0.99316	0.87446	0.94898	Cas9	SELE	CAD_loci
rs11588318	5	0.0044222	0.050782	0.99101	0.99857	0.9595	0.98465	Cas9	SELE	CAD_loci
rs142694912	5	-0.12379	-1.1014	0.37417	0.87211	0.27071	0.57819	Cas9	SELE	CAD_loci
rs4765335	5	0.17128	1.1457	0.30984	0.83333	0.25194	0.56185	Cas9	SELE	CAD_loci
rs7912206	1	-0.72734	-2.3205	0.065279	0.61803	0.020311	0.17175	Cas9	SELE	CAD_loci
rs116351239	5	0.40699	2.3141	0.03122	0.536	0.020663	0.17334	Cas9	SELE	CAD_loci
rs62233095	5	-0.0058406	-0.060766	0.93992	0.99167	0.95155	0.98365	Cas9	SELE	CAD_loci
prom_ITPR1	5	0.098516	0.76067	0.56717	0.93722	0.44685	0.71564	Cas9	SELE	known_genes
rs5784618	5	0.13917	1.4181	0.40728	0.88037	0.15615	0.46221	Cas9	SELE	CAD_loci
rs138628775	1	-0.046383	-0.29516	0.87512	0.98195	0.76787	0.90233	Cas9	SELE	CAD_loci
Pos_GECKO_SOD2	6	-0.090805	-1.6299	0.47446	0.92018	0.10311	0.37426	Cas9	SELE	known_genes
rs35237252	5	-0.043333	-0.49161	0.74834	0.97676	0.62299	0.82571	Cas9	SELE	CAD_loci
rs6060246	5	-0.2303	-2.9334	0.10833	0.68657	0.0033532	0.081974	Cas9	SELE	CAD_loci
rs1594082	5	-0.11289	-1.5629	0.41249	0.88349	0.11808	0.40393	Cas9	SELE	CAD_loci
rs6499559	2	0.37901	2.8086	0.14711	0.74171	0.0049751	0.09308	Cas9	SELE	CAD_loci
rs17517928	5	0.053154	0.59639	0.77342	0.97676	0.55092	0.78059	Cas9	SELE	CAD_loci
rs28469723	5	0.076071	0.60083	0.66367	0.95061	0.54795	0.77796	Cas9	SELE	CAD_loci
rs9513110	4	-0.0036485	-0.025743	0.93377	0.9895	0.97946	0.99309	Cas9	SELE	CAD_loci
rs2820314	5	-0.096226	-1.0475	0.49905	0.92555	0.29485	0.60498	Cas9	SELE	CAD_loci
rs11191564	1	-0.093729	-0.68001	0.7701	0.97676	0.4965	0.74841	Cas9	SELE	CAD_loci
rs62276828	4	-0.086439	-0.7781	0.58042	0.93722	0.43651	0.70819	Cas9	SELE	CAD_loci
Ess_GECKO_RPL27	4	0.70471	1.828	0.0023652	0.13889	0.067557	0.30451	Cas9	SELE	essential_genes
rs8118005	2	-0.34152	-1.8239	0.1561	0.74439	0.068172	0.30538	Cas9	SELE	CAD_loci
rs1231206	5	0.15312	1.5993	0.36093	0.8672	0.10976	0.38933	Cas9	SELE	CAD_loci
rs765548	2	0.015358	0.14859	0.95601	0.99167	0.88187	0.95165	Cas9	SELE	CAD_loci
rs75635914	5	0.1513	1.1322	0.36897	0.86807	0.25757	0.566	Cas9	SELE	CAD_loci
rs1010	5	-0.02401	-0.18468	0.84201	0.9791	0.85348	0.93544	Cas9	SELE	CAD_loci
rs34564316	2	0.072618	0.73888	0.76017	0.97676	0.45998	0.72297	Cas9	SELE	CAD_loci
rs368555480	5	0.13064	1.2094	0.4404	0.89961	0.22649	0.53968	Cas9	SELE	CAD_loci
rs62233097	2	4.285e-05	0.00024055	0.98959	0.99857	0.99981	0.99981	Cas9	SELE	CAD_loci
rs1030262	5	0.29672	2.5875	0.088458	0.66032	0.0096681	0.12462	Cas9	SELE	CAD_loci
rs10738610	5	0.046404	0.50192	0.80842	0.97676	0.61572	0.82174	Cas9	SELE	CAD_loci
rs112494408	5	0.072336	0.62584	0.68259	0.95764	0.53142	0.77133	Cas9	SELE	CAD_loci
rs17114036	5	0.089129	0.80661	0.59745	0.93773	0.41989	0.69565	Cas9	SELE	CAD_loci
rs6667434	5	-0.075347	-1.0242	0.58373	0.93722	0.30575	0.61321	Cas9	SELE	CAD_loci
rs12708925	2	-0.40423	-2.5458	0.10738	0.6858	0.010902	0.13095	Cas9	SELE	CAD_loci
rs145535890	5	-0.21976	-2.3894	0.13387	0.7375	0.016875	0.15926	Cas9	SELE	CAD_loci
rs17608766	5	-0.088952	-0.45181	0.52791	0.93239	0.6514	0.84379	Cas9	SELE	CAD_loci
rs11450190	5	0.067267	0.55043	0.70624	0.96948	0.58202	0.79635	Cas9	SELE	CAD_loci
rs12303671	4	-0.078314	-0.61263	0.60927	0.94428	0.54012	0.77393	Cas9	SELE	CAD_loci
rs681390	5	0.041631	0.29425	0.82876	0.97676	0.76857	0.90264	Cas9	SELE	CAD_loci
rs11398961	5	-0.13102	-1.6667	0.3491	0.85914	0.095569	0.35949	Cas9	SELE	CAD_loci
rs2571445	5	0.27218	2.0773	0.11116	0.69322	0.037772	0.22945	Cas9	SELE	CAD_loci
rs216218	5	0.31359	1.4309	0.073794	0.63673	0.15245	0.45942	Cas9	SELE	CAD_loci
rs10187424	5	0.0030668	0.028932	0.98628	0.99856	0.97692	0.99146	Cas9	SELE	CAD_loci
rs2224770	5	0.12141	1.2853	0.47256	0.92004	0.1987	0.51243	Cas9	SELE	CAD_loci
rs12998823	5	0.031162	0.22607	0.87417	0.98195	0.82115	0.92265	Cas9	SELE	CAD_loci
rs4924807	5	0.1678	1.3096	0.31883	0.84145	0.19035	0.50023	Cas9	SELE	CAD_loci
rs149536583	5	0.26051	1.8331	0.12772	0.73514	0.066785	0.30427	Cas9	SELE	CAD_loci
rs11191453	2	-0.11443	-0.95533	0.62062	0.94604	0.33941	0.6389	Cas9	SELE	CAD_loci
rs357506	5	-0.21523	-1.6987	0.14144	0.73892	0.089376	0.3486	Cas9	SELE	CAD_loci
rs80277764	5	0.13831	1.1858	0.41012	0.88289	0.23569	0.54833	Cas9	SELE	CAD_loci
rs200471721	5	0.0072939	0.058894	0.99811	0.99953	0.95304	0.98444	Cas9	SELE	CAD_loci
rs184544958	1	-0.35101	-1.8581	0.28808	0.82649	0.063155	0.29735	Cas9	SELE	CAD_loci
rs35215812	5	0.37301	2.1509	0.042573	0.54651	0.031481	0.21165	Cas9	SELE	CAD_loci
rs2943645	5	-0.10288	-1.1766	0.45601	0.90516	0.23937	0.54833	Cas9	SELE	CAD_loci
rs2550038	3	-0.040886	-0.38466	0.80842	0.97676	0.70049	0.86548	Cas9	SELE	CAD_loci
rs1351525	5	0.17507	1.5591	0.30511	0.82971	0.11897	0.40501	Cas9	SELE	CAD_loci
rs9633712	5	0.081389	0.76117	0.63482	0.9481	0.44655	0.71564	Cas9	SELE	CAD_loci
rs6661240	5	0.15082	1.2696	0.36991	0.86807	0.20422	0.51703	Cas9	SELE	CAD_loci
rs2165556	5	-0.21551	-2.2619	0.14144	0.73892	0.023706	0.17912	Cas9	SELE	CAD_loci
rs11858992	3	-0.1618	-1.1477	0.3964	0.87888	0.25107	0.56166	Cas9	SELE	CAD_loci
rs4389113	4	0.046784	0.24729	0.83775	0.97739	0.80468	0.9176	Cas9	SELE	CAD_loci
rs78821730	5	-0.38633	-2.3899	0.0089877	0.29231	0.016853	0.15926	Cas9	SELE	CAD_loci
rs1517810	3	0.063157	0.64082	0.77436	0.97676	0.52164	0.76516	Cas9	SELE	CAD_loci
Pos_SAM_CAT	7	0.57052	2.9526	0.00047304	0.04	0.0031508	0.079295	Cas9	SELE	known_genes
rs11427024	5	0.18648	2.0192	0.27625	0.81958	0.043465	0.24525	Cas9	SELE	CAD_loci
rs148728593	2	-0.23907	-1.1281	0.31788	0.84	0.25929	0.56705	Cas9	SELE	CAD_loci
Pos_GECKO_VWF	6	-0.14304	-1.4189	0.26868	0.81895	0.15593	0.46221	Cas9	SELE	known_genes
rs3764311	5	-0.20519	-1.0031	0.15705	0.74439	0.3158	0.62167	Cas9	SELE	CAD_loci
rs7098825	5	-0.057117	-0.49643	0.67266	0.95565	0.61959	0.82426	Cas9	SELE	CAD_loci
rs8076939	2	0.20418	0.78633	0.3964	0.87888	0.43167	0.7048	Cas9	SELE	CAD_loci
rs216219	5	-0.085465	-1.0014	0.53832	0.93509	0.31665	0.62167	Cas9	SELE	CAD_loci
rs2943657	4	-0.25904	-2.4027	0.1263	0.73514	0.016276	0.15845	Cas9	SELE	CAD_loci
rs56041971	4	0.033496	0.365	0.89688	0.98701	0.71511	0.87681	Cas9	SELE	CAD_loci
rs55694910	2	0.2537	1.7523	0.29518	0.82649	0.079722	0.32535	Cas9	SELE	CAD_loci
rs1521185	5	0.15814	1.406	0.34437	0.85563	0.15973	0.46383	Cas9	SELE	CAD_loci
rs9303430	5	0.15248	1.006	0.36329	0.8678	0.31444	0.62167	Cas9	SELE	CAD_loci
rs757833	5	-0.10889	-1.1431	0.42904	0.8936	0.253	0.56185	Cas9	SELE	CAD_loci
rs11657644	5	0.1654	1.1363	0.32781	0.84615	0.25582	0.56451	Cas9	SELE	CAD_loci
rs10793513	3	-0.023205	-0.34348	0.88553	0.98424	0.73124	0.8814	Cas9	SELE	CAD_loci
rs35825716	5	0.10356	1.3939	0.54778	0.93689	0.16336	0.46668	Cas9	SELE	CAD_loci
rs35024078	3	-0.23655	-1.7602	0.24361	0.81102	0.078375	0.32297	Cas9	SELE	CAD_loci
rs7549250	3	0.23525	2.0233	0.27531	0.81958	0.043041	0.24476	Cas9	SELE	CAD_loci
rs72743461	5	0.39156	1.9248	0.03737	0.54651	0.054254	0.2782	Cas9	SELE	CAD_loci
rs12412038	5	-0.078377	-0.95402	0.56859	0.93722	0.34007	0.6389	Cas9	SELE	CAD_loci
rs56260966	5	-0.083822	-1.048	0.54541	0.93689	0.29462	0.60498	Cas9	SELE	CAD_loci
prom_ICAM1	5	0.00051167	0.0016064	0.9754	0.99664	0.99872	0.99978	Cas9	SELE	known_genes
rs7120247	3	-0.12383	-0.69715	0.51372	0.92555	0.48571	0.74065	Cas9	SELE	CAD_loci
rs12301673	3	-0.38386	-1.742	0.058184	0.60591	0.081517	0.33076	Cas9	SELE	CAD_loci
rs2713558	1	-0.36627	-2.5807	0.26868	0.81895	0.0098613	0.12491	Cas9	SELE	CAD_loci
rs139585982	4	-0.027249	-0.2182	0.83444	0.97676	0.82727	0.92581	Cas9	SELE	CAD_loci
rs2505083	5	-0.0091811	-0.13666	0.91722	0.9895	0.8913	0.95302	Cas9	SELE	CAD_loci
prom_CAT	5	-0.029177	-0.1392	0.8122	0.97676	0.88929	0.95302	Cas9	SELE	known_genes
rs34919001	5	0.14257	1.429	0.39735	0.87888	0.153	0.45942	Cas9	SELE	CAD_loci
rs75165171	2	-0.025041	-0.22238	0.91864	0.9895	0.82402	0.92361	Cas9	SELE	CAD_loci
rs11057839	2	0.053148	0.41027	0.82829	0.97676	0.68161	0.8554	Cas9	SELE	CAD_loci
rs3824754	5	0.11151	1.1698	0.51135	0.92555	0.24207	0.55036	Cas9	SELE	CAD_loci
rs1384030	5	0.033154	0.41218	0.86471	0.98069	0.68021	0.8554	Cas9	SELE	CAD_loci
rs62233146	4	0.012198	0.086275	0.99858	0.99953	0.93125	0.9717	Cas9	SELE	CAD_loci
rs79993475	3	-0.1074	-1.113	0.56197	0.93722	0.26571	0.57317	Cas9	SELE	CAD_loci
rs11022756	5	-0.1295	-1.3154	0.35336	0.86358	0.18838	0.49936	Cas9	SELE	CAD_loci
rs10029150	5	0.11224	0.90306	0.50946	0.92555	0.3665	0.65585	Cas9	SELE	CAD_loci
rs11191515	5	-0.056222	-0.73998	0.67739	0.95764	0.45931	0.72259	Cas9	SELE	CAD_loci
rs9806363	5	0.12373	1.2445	0.4631	0.9107	0.2133	0.52544	Cas9	SELE	CAD_loci
rs35610653	2	-0.036352	-0.13137	0.88174	0.98424	0.89548	0.95318	Cas9	SELE	CAD_loci
rs73088122	4	0.042621	0.38562	0.85762	0.98066	0.69978	0.86548	Cas9	SELE	CAD_loci
rs145010450	2	0.092962	0.37019	0.69442	0.96262	0.71124	0.87416	Cas9	SELE	CAD_loci
rs55971080	5	-0.093796	-0.69052	0.50662	0.92555	0.48986	0.74288	Cas9	SELE	CAD_loci
rs4845371	5	0.043791	0.35307	0.8193	0.97676	0.72403	0.88095	Cas9	SELE	CAD_loci
rs9513116	4	0.015074	0.18778	0.98912	0.99857	0.85105	0.93496	Cas9	SELE	CAD_loci
rs1250229	4	-0.17875	-0.58053	0.27058	0.81895	0.56156	0.78461	Cas9	SELE	CAD_loci
prom_ITPR2	5	-0.063137	-0.71176	0.63955	0.9481	0.47661	0.73342	Cas9	SELE	known_genes
rs11149821	4	0.20884	2.3977	0.25544	0.81654	0.016497	0.15845	Cas9	SELE	CAD_loci
Ess_GECKO_EIF5B	6	0.017484	0.10888	0.95601	0.99167	0.9133	0.96212	Cas9	SELE	essential_genes
rs1399626	3	-0.66305	-4.7036	0.0037843	0.18605	2.5565e-06	0.00077207	Cas9	SELE	CAD_loci
rs71308007	2	-0.49448	-3.0338	0.050615	0.58152	0.002415	0.072003	Cas9	SELE	CAD_loci
rs1412444	5	0.052901	0.35196	0.77483	0.97676	0.72487	0.88095	Cas9	SELE	CAD_loci
rs4887824	5	-0.26236	-2.6168	0.070009	0.62185	0.0088769	0.11864	Cas9	SELE	CAD_loci
rs77867281	5	0.081208	0.93424	0.63529	0.9481	0.35018	0.64261	Cas9	SELE	CAD_loci
rs67018732	2	-0.0055813	-0.053883	0.97588	0.99664	0.95703	0.98444	Cas9	SELE	CAD_loci
rs57217136	5	0.021296	0.28143	0.92289	0.9895	0.77838	0.90782	Cas9	SELE	CAD_loci
rs17782313	5	0.12523	1.0494	0.4579	0.90552	0.294	0.60498	Cas9	SELE	CAD_loci
rs2279286	5	0.079244	0.66189	0.64428	0.9481	0.50804	0.75633	Cas9	SELE	CAD_loci
rs2943654	3	0.061662	0.57437	0.77815	0.97676	0.56572	0.78503	Cas9	SELE	CAD_loci
rs35787595	5	0.40781	1.4777	0.030747	0.536	0.13948	0.43617	Cas9	SELE	CAD_loci
rs10919068	5	0.2057	1.8781	0.22233	0.78859	0.060373	0.29073	Cas9	SELE	CAD_loci
rs2943646	2	-0.1771	-1.3089	0.44797	0.90085	0.19056	0.50023	Cas9	SELE	CAD_loci
22:24699738	4	0.058587	0.49053	0.7843	0.97676	0.62376	0.8262	Cas9	SELE	CAD_loci
rs4380028	5	-0.088338	-1.1927	0.53027	0.93261	0.233	0.54638	Cas9	SELE	CAD_loci
rs7623687	1	-0.27773	-1.4699	0.39499	0.87888	0.14159	0.43825	Cas9	SELE	CAD_loci
rs2644122	3	0.016958	0.11201	0.9527	0.99167	0.91082	0.96129	Cas9	SELE	CAD_loci
rs4765305	5	0.3108	2.136	0.077105	0.64683	0.032679	0.21455	Cas9	SELE	CAD_loci
rs7928655	5	0.14282	1.1806	0.39688	0.87888	0.23775	0.54833	Cas9	SELE	CAD_loci
rs9896207	5	-0.28627	-2.73	0.04825	0.55738	0.006333	0.10298	Cas9	SELE	CAD_loci
rs8067208	3	-0.34034	-2.0263	0.089404	0.66032	0.042731	0.24476	Cas9	SELE	CAD_loci
rs10176176	4	-0.30042	-2.1999	0.073794	0.63673	0.027813	0.19731	Cas9	SELE	CAD_loci
rs2820316	5	0.14193	0.58148	0.39924	0.87888	0.56092	0.78461	Cas9	SELE	CAD_loci
rs62233136	5	-0.034565	-0.35047	0.78903	0.97676	0.72599	0.88095	Cas9	SELE	CAD_loci
rs56256300	3	-0.046241	-0.56382	0.78619	0.97676	0.57288	0.79154	Cas9	SELE	CAD_loci
rs35626308	5	-0.20867	-2.361	0.15232	0.74376	0.018226	0.16604	Cas9	SELE	CAD_loci
rs78224165	5	-0.063002	-0.79017	0.64002	0.9481	0.42943	0.70319	Cas9	SELE	CAD_loci
rs1004467	5	0.13057	1.2161	0.44087	0.89961	0.22394	0.53797	Cas9	SELE	CAD_loci
rs5853682	5	-0.040963	-0.2332	0.76206	0.97676	0.8156	0.92055	Cas9	SELE	CAD_loci
rs61791508	3	0.16888	1.1991	0.43236	0.8952	0.23049	0.54359	Cas9	SELE	CAD_loci
rs11906318	5	0.27801	2.023	0.10407	0.68323	0.043071	0.24476	Cas9	SELE	CAD_loci
rs11723436	5	0.023774	0.30091	0.90965	0.9892	0.76348	0.89966	Cas9	SELE	CAD_loci
Pos_SAM_ITPR1	8	-0.067467	-0.92663	0.5175	0.92555	0.35412	0.64591	Cas9	SELE	known_genes
rs2865530	5	0.058182	0.49946	0.75071	0.97676	0.61746	0.8225	Cas9	SELE	CAD_loci
rs4930723	4	-0.21611	-1.5539	0.18685	0.75985	0.12021	0.40659	Cas9	SELE	CAD_loci
rs3796592	5	-0.17818	-1.0069	0.21665	0.77797	0.31399	0.62167	Cas9	SELE	CAD_loci
rs3739998	5	0.02224	0.26955	0.91911	0.9895	0.78751	0.90782	Cas9	SELE	CAD_loci
rs2972135	3	0.30451	1.2772	0.16935	0.75527	0.20152	0.51576	Cas9	SELE	CAD_loci
Ess_SAM_POLR2D	6	-0.1607	-0.62499	0.22091	0.7862	0.53198	0.77133	Cas9	SELE	essential_genes
rs401162	5	-0.054648	-0.4337	0.68259	0.95764	0.66451	0.84735	Cas9	SELE	CAD_loci
rs113139051	2	-0.48392	-2.8747	0.054399	0.60204	0.0040439	0.088052	Cas9	SELE	CAD_loci
rs7305864	5	-0.1621	-1.7849	0.25639	0.81654	0.074273	0.31436	Cas9	SELE	CAD_loci
rs7208732	2	-0.23761	-0.71671	0.32072	0.84348	0.47355	0.73286	Cas9	SELE	CAD_loci
rs2839812	2	0.076632	0.34459	0.74787	0.97676	0.7304	0.8814	Cas9	SELE	CAD_loci
rs12938295	5	0.091939	0.87168	0.59082	0.93722	0.38339	0.66705	Cas9	SELE	CAD_loci
rs8071654	5	0.030736	0.26523	0.87512	0.98195	0.79083	0.90926	Cas9	SELE	CAD_loci
rs1384028	3	0.11933	0.79156	0.56339	0.93722	0.42861	0.70298	Cas9	SELE	CAD_loci
rs72743482	5	0.086088	0.85432	0.61258	0.94497	0.39293	0.67576	Cas9	SELE	CAD_loci
rs55869368	3	-0.3441	-2.7252	0.087985	0.66032	0.0064265	0.10357	Cas9	SELE	CAD_loci
rs112332675	5	0.043293	0.44	0.82167	0.97676	0.65994	0.84735	Cas9	SELE	CAD_loci
rs4126104	5	0.082643	0.81692	0.62914	0.9481	0.41397	0.69181	Cas9	SELE	CAD_loci
rs151102829	3	-0.47453	-1.9318	0.020814	0.41509	0.053388	0.27512	Cas9	SELE	CAD_loci
rs9905529	3	-0.13965	-1.2069	0.46358	0.91078	0.22746	0.53968	Cas9	SELE	CAD_loci
rs1800449	5	-0.075985	-0.61093	0.58184	0.93722	0.54125	0.77393	Cas9	SELE	CAD_loci
rs2133187	3	-0.22847	-2.423	0.25686	0.81654	0.015391	0.1542	Cas9	SELE	CAD_loci
rs34315250	1	0.48763	1.5164	0.16131	0.7462	0.12942	0.42353	Cas9	SELE	CAD_loci
Pos_SAM_SOD3	2	0.19813	1.4105	0.40681	0.88025	0.1584	0.4624	Cas9	SELE	known_genes
rs11191555	2	0.2609	0.77396	0.28477	0.82649	0.43895	0.70998	Cas9	SELE	CAD_loci
rs3184504	5	0.14093	0.87535	0.40161	0.87888	0.38138	0.6653	Cas9	SELE	CAD_loci
rs201062608	5	0.15062	1.8399	0.37039	0.86807	0.065779	0.30228	Cas9	SELE	CAD_loci
rs3781285	5	0.060242	0.57855	0.74125	0.97676	0.56289	0.78461	Cas9	SELE	CAD_loci
